,service1_inst,service2_inst,service3_inst,service1_mem,service2_mem,service3_mem,time_span,result
275,7,1,4,380,562,335,above 10,1
276,1,3,5,411,55,48,below 6,1
277,1,6,1,151,369,519,below 3,0
278,5,6,5,335,588,3,below 3,1
279,1,6,0,585,566,331,below 3,0
280,2,2,5,127,477,379,below 2,0
281,9,0,0,403,346,579,below 10,1
282,5,1,1,6,277,8,below 2,0
283,0,7,3,595,274,332,below 6,0
284,4,3,1,579,287,113,below 10,0
285,5,3,1,105,433,351,below 3,0
286,5,8,4,450,550,386,below 2,0
287,6,0,6,326,115,270,below 2,1
288,6,5,9,102,158,455,below 2,1
289,1,4,0,505,58,514,below 6,0
290,9,1,9,93,371,360,below 3,1
291,0,1,7,463,178,524,below 6,0
292,0,7,8,545,243,596,below 6,0
293,5,8,0,350,146,195,above 10,1
294,3,7,1,159,329,307,below 1,0
295,0,5,3,512,2,443,below 2,1
296,8,0,5,46,365,542,below 2,0
297,1,2,1,494,282,133,below 6,0
298,3,4,7,298,524,344,below 10,0
299,1,0,7,319,216,517,below 2,1
