,service1_inst,service2_inst,service3_inst,service1_mem,service2_mem,service3_mem,time_span,result
289,0,7,6,347,223,156,below 10,1
290,6,1,7,190,138,136,below 1,1
291,2,1,2,364,146,268,below 3,0
292,3,1,6,593,49,257,below 3,1
293,5,4,2,279,228,131,below 10,1
294,4,6,8,25,430,3,below 10,0
295,8,9,8,536,358,105,below 2,0
296,6,4,5,450,479,439,below 10,0
297,3,8,3,312,243,206,below 1,1
298,2,8,6,29,132,304,below 10,1
299,1,6,7,444,192,10,below 3,1
