,service1_inst,service2_inst,service3_inst,service1_mem,service2_mem,service3_mem,time_span,result
82,4,0,0,157,15,328,below 10,1
83,5,8,5,318,448,73,below 1,0
84,0,2,2,477,399,162,below 1,0
85,0,0,5,526,211,3,below 6,1
86,9,1,2,145,571,72,below 3,1
87,1,7,5,140,290,101,above 10,0
88,3,3,7,43,222,93,below 2,0
89,4,3,2,259,451,557,below 2,1
90,1,1,0,268,451,70,below 3,1
91,7,0,2,323,68,230,below 2,1
92,1,8,3,156,530,62,below 2,1
93,2,0,4,183,400,202,above 10,1
94,2,0,8,225,220,164,below 10,1
95,7,3,7,262,8,77,below 1,0
96,1,8,2,11,121,387,below 3,1
97,8,8,1,130,381,210,above 10,1
98,7,3,7,292,22,236,above 10,1
99,6,1,0,403,274,427,below 2,0
100,3,0,3,44,271,94,below 10,0
101,5,8,5,281,114,244,below 6,0
102,1,2,1,200,258,395,above 10,1
103,0,1,1,422,288,109,below 1,0
104,1,8,8,178,198,204,above 10,0
105,2,1,1,448,404,426,below 6,0
106,7,5,9,34,154,487,below 6,1
107,6,7,0,219,423,335,below 10,0
108,6,1,4,346,361,253,below 1,0
109,8,1,7,98,196,218,above 10,0
110,4,3,9,154,486,218,above 10,1
111,8,6,4,282,58,516,below 3,0
112,1,8,2,135,473,63,below 3,1
113,4,0,1,348,17,244,below 3,0
114,9,4,1,275,34,232,below 3,0
115,5,3,8,354,213,533,below 1,0
116,8,4,1,579,147,1,above 10,1
117,1,0,9,114,142,292,below 6,1
118,9,2,6,431,344,180,below 1,1
119,4,4,2,510,163,307,below 10,1
120,5,5,5,128,344,5,below 6,1
121,2,1,8,599,309,339,below 10,0
122,9,5,4,132,506,592,below 1,1
123,7,7,9,492,537,450,below 10,0
124,3,9,8,252,238,429,above 10,0
125,3,1,0,191,149,538,below 3,1
126,1,0,0,3,109,215,below 10,0
127,5,9,7,77,99,124,below 10,1
128,3,7,9,476,30,198,above 10,0
129,3,9,9,431,274,371,below 3,0
130,6,4,9,77,336,323,below 6,1
131,3,2,9,555,349,591,below 2,1
132,1,5,8,275,386,278,above 10,0
133,4,0,0,390,303,404,below 3,1
134,6,4,8,258,593,73,below 2,1
135,4,6,9,411,460,464,below 2,0
136,7,1,5,386,587,1,below 1,1
137,6,0,6,224,141,396,above 10,0
138,6,0,9,134,346,220,below 6,0
139,7,0,3,69,257,106,below 2,1
140,2,7,9,403,179,232,below 3,1
141,6,6,0,369,435,272,below 6,1
142,0,4,1,192,384,305,below 1,0
143,5,7,6,350,527,127,below 1,0
144,9,8,5,103,120,506,above 10,1
145,4,6,4,20,66,303,below 1,0
146,7,5,1,43,275,29,below 3,0
147,1,7,7,506,497,134,above 10,1
148,1,0,6,521,220,235,below 3,1
149,2,9,6,245,378,448,below 10,0
150,1,7,2,61,198,349,above 10,1
151,3,9,3,525,183,514,below 2,1
152,3,8,1,439,219,59,below 10,0
153,4,6,4,363,4,54,below 2,0
154,0,7,1,169,528,111,below 1,1
155,1,6,5,8,83,223,below 2,1
156,4,7,2,475,591,361,below 10,0
157,2,7,4,24,52,96,below 6,0
158,8,0,8,165,17,542,below 10,1
159,1,7,6,365,50,42,below 1,0
160,2,3,3,127,489,144,below 3,1
161,4,8,0,117,151,527,below 2,0
162,4,6,4,440,368,354,below 3,0
163,3,3,5,184,247,190,below 2,0
164,4,0,8,268,133,539,below 2,1
165,2,7,0,111,235,447,below 3,1
166,3,5,3,527,104,352,below 10,1
167,3,2,6,342,474,148,below 6,1
168,2,3,7,5,2,531,below 3,1
169,9,9,4,195,224,349,below 3,0
170,5,8,5,167,150,243,below 1,1
171,3,1,3,405,172,457,below 6,1
172,7,8,9,139,492,368,below 3,1
173,3,3,6,367,585,473,below 3,1
174,4,4,1,498,229,63,below 3,1
175,0,2,8,22,274,556,below 3,0
176,8,1,7,373,337,404,below 1,1
177,8,4,3,29,248,540,below 2,1
178,9,4,6,358,433,278,below 2,0
179,9,1,6,291,185,587,below 10,0
180,7,1,9,338,529,278,below 3,1
181,9,9,3,538,12,525,above 10,1
182,4,5,9,421,44,398,below 1,0
183,5,1,7,547,26,513,below 10,0
184,9,7,7,293,37,8,below 3,1
185,9,4,8,279,320,306,below 10,0
186,2,0,0,81,413,406,below 6,0
187,8,0,2,509,142,406,above 10,0
188,5,0,9,468,403,16,below 6,0
189,0,8,1,180,176,2,below 2,1
190,9,1,0,519,201,356,below 2,0
191,8,3,0,123,397,214,above 10,0
192,1,7,5,281,105,308,above 10,0
193,2,0,4,227,466,174,above 10,0
194,5,4,1,398,36,366,below 1,1
195,4,5,4,71,468,91,below 2,0
196,8,3,8,23,535,206,below 6,0
197,5,7,3,523,111,90,below 2,0
198,0,7,3,315,315,57,below 1,1
199,4,2,8,585,175,236,below 6,1
200,9,5,5,502,493,158,below 1,0
201,0,4,5,348,5,387,below 1,1
202,9,9,4,292,597,518,below 10,1
203,0,3,2,217,246,95,below 1,0
204,4,1,1,302,441,419,above 10,0
205,3,5,2,344,436,471,below 2,1
206,7,2,6,167,517,504,below 1,1
207,7,5,8,267,337,5,below 3,1
208,8,8,9,159,64,402,below 10,0
209,6,0,9,126,44,77,below 6,1
210,1,8,1,0,294,80,below 3,0
211,4,7,4,470,127,316,below 3,1
212,9,8,1,23,344,488,below 6,1
213,6,4,0,368,270,233,below 1,0
214,6,0,1,372,238,280,below 10,1
215,0,6,0,502,226,269,below 3,1
216,9,6,6,290,324,564,above 10,0
217,3,6,5,282,104,67,below 1,1
218,1,3,5,475,524,58,below 6,1
219,7,1,6,430,292,333,below 6,1
220,1,1,7,567,204,291,below 10,0
221,3,1,7,338,23,15,below 10,0
222,4,6,8,227,289,246,below 6,0
223,8,6,6,558,146,128,above 10,1
224,7,7,9,257,372,153,below 3,0
225,8,1,2,365,578,568,above 10,1
226,8,9,8,530,60,56,below 3,1
227,1,1,6,209,79,86,below 2,0
228,7,1,7,436,498,535,below 1,1
229,6,0,9,4,363,306,above 10,1
230,8,9,9,489,430,423,below 10,1
231,0,5,6,277,150,20,above 10,1
232,2,1,1,460,310,481,above 10,0
233,9,7,1,68,119,421,below 10,0
234,1,3,9,550,491,146,below 10,1
235,4,8,6,0,11,259,below 6,0
236,1,7,9,61,189,419,below 3,0
237,5,2,9,161,71,414,below 1,1
238,1,0,6,32,385,376,below 2,1
239,4,5,7,397,357,132,below 3,0
240,5,7,2,556,238,346,below 3,0
241,2,9,8,553,272,370,below 3,0
242,9,3,3,215,549,358,above 10,0
243,3,5,0,522,3,131,below 3,0
244,1,8,1,569,46,279,above 10,0
245,6,0,7,184,529,82,above 10,1
246,1,9,5,400,554,321,below 2,0
247,8,9,5,235,385,204,below 10,1
248,3,0,0,446,90,352,below 10,1
249,7,6,2,408,106,39,below 1,1
250,1,1,6,350,308,433,below 6,1
251,9,4,9,52,345,366,below 10,0
252,9,7,1,82,189,541,below 3,0
253,5,2,6,276,25,3,below 2,1
254,7,7,4,364,276,425,above 10,0
255,1,9,0,298,233,214,above 10,1
256,5,1,3,53,176,8,below 10,0
257,2,9,1,541,296,13,below 2,0
258,4,1,4,359,171,309,below 1,0
259,9,4,0,126,29,326,below 3,1
260,1,3,0,542,148,320,above 10,0
261,9,0,7,557,3,514,below 1,0
262,4,6,8,137,555,322,below 1,0
263,6,8,5,342,47,192,above 10,1
264,2,1,2,99,375,591,below 3,0
265,9,0,2,39,512,390,below 1,1
266,7,7,8,197,571,98,above 10,1
267,1,9,8,80,376,514,above 10,1
268,9,1,4,476,272,40,below 6,1
269,2,6,0,331,248,404,below 6,1
270,0,9,9,265,590,139,below 10,0
271,7,2,0,254,432,267,below 10,0
272,0,2,2,186,413,447,below 1,0
273,5,3,0,86,157,476,below 2,1
274,0,6,8,208,420,423,below 10,1
275,7,9,3,479,319,558,below 3,0
276,0,3,4,519,551,419,below 6,1
277,9,3,8,333,318,423,below 2,0
278,9,0,9,310,334,588,below 10,0
279,4,1,7,365,393,387,above 10,1
280,2,0,7,559,147,320,above 10,1
281,4,3,1,154,594,306,above 10,1
282,0,4,3,245,206,538,below 1,1
283,3,0,9,334,130,37,below 6,1
284,7,9,7,484,360,27,below 2,0
285,2,6,8,460,313,86,below 6,0
286,2,2,5,477,455,147,above 10,1
287,9,8,7,13,74,0,below 3,1
288,9,5,1,59,572,176,below 10,0
289,1,6,2,45,290,30,below 3,0
290,4,4,6,318,555,492,below 3,0
291,0,6,6,492,462,283,above 10,1
292,4,6,6,337,504,394,below 10,0
293,5,3,5,524,301,148,below 3,0
294,4,0,2,522,408,219,below 6,0
295,9,2,9,107,463,593,below 6,1
296,3,5,4,5,54,113,below 6,1
297,7,1,6,437,2,412,below 3,1
298,1,5,9,599,157,478,below 6,0
299,0,9,6,185,219,445,below 6,1
